BCV_REC_ID,Cust_ID,RETSTAT,ID,FNAME,LNAME,ENAME,SFNAME,SLNAME,PSEX,SSEX,PHS,MSTAT,DOB,SDOB,DOH,DOP,DOTE,DOD,SDOD,CSPA,VSPA,REVIEW_STATUS,DATA_ENTRY_STATUS,T001,D001,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015,S016,S017,S018,S019,S020,S021,S022,S023,S024,S025,S026,S027,S028,S029,S030,S031,S032,S033,S034,S035,S036,S037,S038,S039,DOR,SBCD,FORM_CODE_ARD,VPPA,SPC_ARD,MTHS_ARD,LEV_MB_ARD,LS_EST_AMT,LS_EST_DATE,SCI,BCI,PCCI,SCCI,BCCI,BFNAME,BLNAME,BRELATION,BSEX,BDOB,NON_SPOUSE_BENF,POST_DOPT_DOTE,PA_AMB,PAYMENT_ADM_INDICATOR,FORM_CODE_PTP,SPC_PTP
50010,CUST50010,1,1,P50010,SAMPLE,,,,F,,0,S,1976-02-22,,2016-01-09,2016-07-01,2020-10-28,,,5.90,5.60,0,1,SecU,2017-12-22,,75758,72918,,66582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,G-PCCI-50010,,,,,,,,,,207.50,PBGC,,
50011,CUST50011,4,1,P50011,SAMPLE,,,,M,,1,S,1972-04-11,,2002-05-07,,2013-06-24,2018-08-26,,19.42,17.33,1,1,NonU,,,,,41109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,1.00,,,,,,,,G-PCCI-50011,,,,,,,,,,0.00,PBGC,,
50012,CUST50012,3,1,P50012,SAMPLE,JR,,,F,,0,S,1979-05-14,,2019-11-12,2020-07-01,2021-07-08,,,2.04,1.88,0,0,SecU,,,40250,,42206,37184,38307,36802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.00,,60,,,,,,G-PCCI-50012,,,,,,,,,,87.92,PLAN,,
50013,CUST50013,4,1,P50013,SAMPLE,JR,,,F,,0,S,1973-03-22,,2007-01-24,2007-07-01,2013-06-08,,,14.75,13.68,1,1,SecU,,68049,69310,68436,64442,70153,66652,67000,65616,57212,54960,58392,51569,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,0.00,PBGC,,
50014,CUST50014,2,1,P50014,SAMPLE,,,,M,,0,D,1973-03-07,,2013-10-25,2014-07-01,2016-08-11,,,8.26,7.26,1,0,,,,,62310,64489,59766,58833,57788,61671,54136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,1.00,,120,,,,,,,,,,,,,,,,403.77,,,
50015,CUST50015,1,1,P50015,SAMPLE,,,,F,,0,U,1984-02-26,,2021-09-15,2022-07-01,,,,0.12,0.12,1,1,FacU,,,,,,55519,58827,55154,56314,49083,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-24,,8,0.80,0.75,,3.96,,,,,,,,,,,,,,,3.96,PLAN,,
50016,CUST50016,2,1,P50016,SAMPLE,JR,,,M,,1,S,1969-01-30,,1991-09-26,,2020-05-02,,,29.16,25.59,0,0,SecU,,,,76604,83637,79430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,1.00,,,,,,,,G-PCCI-50016,,,,,,,,,,1061.60,PBGC,,
50017,CUST50017,5,1,P50017,SAMPLE,JR,,,F,,0,S,1954-02-22,,2014-03-20,2014-07-01,,,,7.40,7.75,1,0,SecU,2002-06-25,,,,87106,82060,79442,,67885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,G-PCCI-50017,,,,,,,,,,181.76,PLAN,,
50018,CUST50018,2,1,P50018,SAMPLE,JR,,,M,,0,D,1988-08-03,,2009-10-30,2010-07-01,2019-06-26,,,10.96,11.07,0,0,,,,,81873,91580,91128,87761,85922,83530,79637,76625,74552,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.00,0.75,,,,,,,G-PCCI-50018,,,B50018,SAMPLE,DA,F,1995-11-03,,,440.49,PBGC,,
50019,CUST50019,1,1,P50019,SAMPLE,,,,F,,0,S,1939-12-21,,1975-11-18,1976-07-01,1997-11-17,,,46.64,41.77,0,1,NonU,,,,84786,92459,84281,87480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-12-17,,5,1.00,,60,2467.69,,,,,,,,,,,,,,,2467.69,PBGC,,
50020,CUST50020,3,1,P50020,SAMPLE,,,,M,,0,S,1964-05-25,,2020-03-21,2020-07-01,2021-07-30,2007-12-12,,1.68,1.54,1,0,FacU,1998-08-06,118481,112374,122798,117850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.80,,180,,,,,,,,,,,,,,,,68.70,PBGC,,
50021,CUST50021,1,1,P50021,SAMPLE,III,,,F,,0,D,1972-11-02,,1992-10-18,1993-07-01,2019-08-07,,,29.26,27.34,1,1,SecU,2007-09-14,,,113742,120101,100231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-06-07,,D,1.00,0.50,,718.54,,,,,,,,,,,,,,,718.54,PBGC,,
50022,CUST50022,1,1,P50022,SAMPLE,,,,M,,0,W,1946-02-08,,1982-04-26,1982-07-01,1984-02-08,,,34.04,38.93,0,1,SecU,,,,,,81795,71753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-04-10,,D,1.00,1.00,60,1252.86,,,,,,,,,,,,,,,1252.86,PLAN,,
50023,CUST50023,3,1,P50023,SAMPLE,III,,,F,,2,S,1973-07-15,,1997-10-16,1998-07-01,,,,23.62,21.49,1,1,SecU,2012-03-28,65424,64223,,57679,,55559,52748,50795,49063,49495,44982,49040,47767,45235,,,,,,,,,,,,,,,,,,,,,,,,,5,1.00,,60,,,,,,,,,,,,,,,,999.97,PLAN,,
50024,CUST50024,3,1,P50024,SAMPLE,III,S50024,SAMPLE,F,M,0,M,1960-06-09,1957-03-16,1997-02-14,,,,,24.83,24.70,1,1,NonU,,,,,,67557,61844,57008,,60188,53393,58088,51864,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.00,,120,,,,,,,,,,,,,,,,1167.46,,,
50025,CUST50025,1,1,P50025,SAMPLE,III,,,M,,0,U,1958-12-26,,1994-11-11,1995-07-01,2015-02-21,,,25.13,27.38,0,1,,,,97756,101389,98651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-23,,0,1.00,0.50,,751.81,,,,,,,,,,,,,,,751.81,PLAN,,
50026,CUST50026,1,1,P50026,SAMPLE,JR,S50026,SAMPLE,F,M,0,M,1947-05-30,1944-05-18,2014-06-03,2014-07-01,2015-02-16,,,7.76,7.16,0,1,NonU,,,,,,,97555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.00,,,,,,G-SCI-50026,,,G-SCCI-50026,,,,,,,,,280.29,PBGC,,
50027,CUST50027,4,1,P50027,SAMPLE,JR,,,F,,0,U,1939-06-18,,1985-03-11,1985-07-01,,,,35.11,36.51,1,0,SecU,1999-01-28,164668,163213,,,153332,155095,,129594,,139346,123869,126111,113735,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.00,1.00,,,,,,,,,,,,,,,,,0.00,PLAN,,
50028,CUST50028,4,1,P50028,SAMPLE,,,,F,,0,M,1986-08-11,,2019-11-24,2020-07-01,,2018-06-17,,1.75,2.03,1,0,SecU,1988-01-02,,,,,71142,66009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,,G-PCCI-50028,,,B50028,SAMPLE,OT,M,1971-07-29,,2022-10-19,0.00,,,
50029,CUST50029,4,1,P50029,SAMPLE,JR,S50029,SAMPLE,F,M,1,M,1947-02-13,1948-04-03,2014-10-15,2015-07-01,,,,6.57,6.17,1,1,,,114266,118395,109621,110559,,96295,99255,95501,97569,91526,85023,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,1.00,0.75,60,,,,,,G-PCCI-50029,,,,,,,,,,0.00,,,
50030,CUST50030,5,1,P50030,SAMPLE,,,,M,,0,M,1941-09-30,,1976-12-13,1977-07-01,,,,41.17,45.26,1,0,,,,,,,,117318,106182,112948,,107039,99706,99943,93627,,,,,,,,,,,,,,,,,,,,,,,,,,D,1.00,0.50,180,,,,G-SCI-50030,,,G-SCCI-50030,,,,,,,,,1348.71,PBGC,,
50031,CUST50031,3,1,P50031,SAMPLE,III,,,M,,1,S,1984-03-05,,2016-02-20,2016-07-01,2018-02-18,2015-07-19,,5.12,5.40,0,1,,,,,136900,,135249,,130835,123089,119861,111379,121373,105334,105767,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.00,,,,,,,,,,,B50031,SAMPLE,SO,M,1944-01-26,Y,,248.05,PLAN,,
50032,CUST50032,2,1,P50032,SAMPLE,III,,,M,,1,D,1944-09-29,,1971-05-11,1971-07-01,1979-06-14,2002-08-24,,48.14,51.63,0,1,,,,,,,,54379,55600,54140,50243,,48525,50078,46832,44556,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,2870.31,2025-02-06,,,G-PCCI-50032,,,,,,,,,,2356.24,PBGC,,
50033,CUST50033,1,1,P50033,SAMPLE,,,,M,,0,S,1950-02-11,,1983-11-28,1984-07-01,2012-02-28,,,37.25,32.79,1,0,NonU,,,,,,,53356,,51617,53125,53425,51158,44751,,,,,,,,,,,,,,,,,,,,,,,,,2012-03-29,,8,1.00,0.50,,1214.12,,,,,G-PCCI-50033,,,,,,,,,,1214.12,PLAN,,
50034,CUST50034,4,1,P50034,SAMPLE,,,,F,,0,S,1967-09-07,,2002-08-29,2003-07-01,,,,18.32,17.89,0,1,NonU,,,,67871,66084,58936,63990,61622,,52936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,1.00,1.00,120,,,,,,,,,,,,,,,2023-05-18,0.00,,,
50035,CUST50035,3,1,P50035,SAMPLE,,,,M,,0,S,1988-11-06,,2020-08-18,2021-07-01,2021-11-09,,,1.19,1.24,0,0,,,129540,118135,125102,110391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.00,,180,,,,,,,,,B50035,SAMPLE,DA,M,2001-04-19,N,,59.59,PBGC,,
50036,CUST50036,4,1,P50036,SAMPLE,,,,M,,1,U,1953-05-18,,1988-10-27,1989-07-01,1992-11-03,,,32.90,34.18,1,1,SecU,1991-01-17,,,,36871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,0.00,PLAN,,
50037,CUST50037,1,1,P50037,SAMPLE,,,,F,,1,W,1956-10-22,,2004-09-26,2005-07-01,2018-07-30,,,17.04,16.88,1,0,SecU,,,,,,,57895,57755,53753,55199,53885,50026,,50000,49624,,,,,,,,,,,,,,,,,,,,,,,2018-08-29,,D,1.00,0.75,120,372.08,,,,,,,,,,,,,,,372.08,PLAN,,
50038,CUST50038,2,1,P50038,SAMPLE,,,,F,,0,D,1967-04-18,,1991-06-05,1991-07-01,2018-08-17,,,25.85,26.53,0,0,,,132387,132836,130261,,125565,107248,116725,,107223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.00,,120,,,,,,G-PCCI-50038,,,,,,,,,,590.66,PLAN,,
50039,CUST50039,1,1,P50039,SAMPLE,,,,M,,0,D,1988-09-09,,2012-12-26,2013-07-01,2017-12-18,,,8.61,8.15,1,1,,,,,,89048,88297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.00,,120,,,,,,G-PCCI-50039,,,,,,,,,,254.41,PBGC,,
50040,CUST50040,1,1,P50040,SAMPLE,III,,,M,,0,U,1950-05-01,,1993-04-07,,1999-03-02,,,24.69,29.17,0,0,,,,,,,,,109357,101172,108735,104773,90963,99972,94667,82863,,,,,,,,,,,,,,,,,,,,,,,2003-07-27,,D,1.00,1.00,60,995.78,,,,,,,,,,,,,,,995.78,PBGC,,
50041,CUST50041,2,1,P50041,SAMPLE,,,,M,,0,S,1966-11-21,,2015-04-14,2015-07-01,2020-03-20,,,5.93,6.24,1,0,FacU,2012-03-24,,,108586,112768,101703,105253,104598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,305.88,PLAN,,
50042,CUST50042,2,1,P50042,SAMPLE,,,,M,,0,U,1989-08-30,,2011-05-14,2011-07-01,2019-12-25,,,10.08,9.53,0,1,FacU,1988-01-18,,,85660,73712,76902,81047,,73229,75015,64650,71563,,65266,60697,,,,,,,,,,,,,,,,,,,,,,,,,5,1.00,,120,,,,,,,,,,,,,,,,252.58,PBGC,,
50043,CUST50043,4,1,P50043,SAMPLE,III,,,M,,0,S,1986-06-17,,2019-09-12,2020-07-01,,,,2.08,1.86,1,1,,,,,131145,135891,131562,133044,125705,,120880,,115634,113909,,,,,,,,,,,,,,,,,,,,,,,,,,,D,0.60,1.00,60,,,,,,G-PCCI-50043,,,,,,,,,,0.00,,,
50044,CUST50044,2,1,P50044,SAMPLE,JR,,,F,,0,U,1981-01-17,,2006-04-07,2006-07-01,2011-06-26,2009-04-22,,13.67,15.75,1,0,NonU,,,,95437,96151,80734,83531,89503,76224,78364,,77259,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.00,0.75,,,,,,,G-PCCI-50044,,,,,,,,,,705.10,PLAN,,
50100,CUST50100,2,2,BEN50100,SAMPLE,,,,F,,,W,1965-12-30,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-04-01,D,,0.50,60,500.54,,,,,G-PCCI-50010,G-SCCI-50100,,,,,,,,,,PBGC,,
50101,CUST50101,1,2,BEN50101,SAMPLE,,,,F,,,S,1983-05-21,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-01,1,,,60,721.22,,,,,,,,,,,,,,,,PBGC,,
50102,CUST50102,2,2,BEN50102,SAMPLE,,,,F,,,W,1983-02-26,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-01,5,,,60,886.27,,,,,G-PCCI-50029,G-SCCI-50102,,,,,,,,,,PBGC,,
50103,CUST50103,2,2,BEN50103,SAMPLE,,,,F,,,S,1963-01-05,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,D,,,60,489.06,,,,,G-PCCI-50033,G-SCCI-50103,,,,,,,,,,PBGC,,
50104,CUST50104,2,2,BEN50104,SAMPLE,,,,F,,,S,1958-11-27,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-01,D,,1.00,120,849.04,,,,,,,,,,,,,,,,PBGC,,
50105,CUST50105,2,2,BEN50105,SAMPLE,,,,F,,,W,1972-04-14,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-01,D,,,,121.03,,,,,G-PCCI-50006,G-SCCI-50105,,,,,,,,,,PBGC,,
50106,CUST50106,1,2,BEN50106,SAMPLE,,,,M,,,U,1988-09-05,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-01,1,,,120,525.44,,,,,G-PCCI-50010,G-SCCI-50106,,,,,,,,,,PBGC,,
50107,CUST50107,1,2,BEN50107,SAMPLE,,,,F,,,S,1987-09-16,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,,,,,312.19,,,,,,,,,,,,,,,,PBGC,,
50108,CUST50108,1,2,BEN50108,SAMPLE,,,,M,,,S,1954-07-30,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-01,,,,,870.05,,,,,G-PCCI-50016,G-SCCI-50108,,,,,,,,,,PBGC,,
50109,CUST50109,1,2,BEN50109,SAMPLE,,,,M,,,S,1949-02-07,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-04-01,,,,,554.06,,,,,G-PCCI-50011,G-SCCI-50109,,,,,,,,,,PBGC,,
50200,CUST50200,1,4,AP50200,SAMPLE,,,,F,,,D,1974-03-25,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-01,,,,,,341.96,,,,,G-PCCI-50006,,,,,,,,,,,PBGC,,
50201,CUST50201,1,4,AP50201,SAMPLE,,,,M,,,S,1990-06-10,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-01,,0,,,,244.92,,,,,G-PCCI-50002,,,,,,,,,,,PBGC,,
50202,CUST50202,1,4,AP50202,SAMPLE,,,,F,,,D,1970-08-28,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-01,,0,,,,308.77,,,,,G-PCCI-50018,,,,,,,,,,,PBGC,,
50203,CUST50203,1,4,AP50203,SAMPLE,,,,F,,,S,1982-12-09,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-01,,0,,,,435.67,,,,,G-PCCI-50010,,,,,,,,,,,PBGC,,
50204,CUST50204,1,4,AP50204,SAMPLE,,,,F,,,S,1969-11-30,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-01,,0,,,,23.10,,,,,G-PCCI-50006,,,,,,,,,,,PBGC,,
